melhores;piores
2944.500791038582;3368.0591477683292
2870.413218165666;3091.6538048411758
2807.1878077040938;3051.3045145816986
2749.0645594217376;3012.297646823079
2691.27670269904;2960.5549058821744
2638.5567735588174;2909.6020848307826
2589.8966458752816;2861.1209002234627
2541.187823427379;2818.8689274321964
2496.661561421474;2773.829267056254
2454.284923090779;2733.5370109516543
2413.210109288563;2684.4997485068056
2374.8050891759717;2645.9123485564955
2335.520544451546;2607.541394542618
2300.178156153105;2577.139485890222
2264.5399409704396;2538.6692604529662
2228.713268555616;2504.114510995615
2194.591822369858;2472.970898650292
2161.1462734704505;2431.36201981471
2127.4152051900746;2403.6689457973744
2097.6534937871475;2369.2388609987524
2068.808797121224;2343.6247965927478
2039.3318295603178;2311.335752198757
2011.7948026919264;2282.597217955389
1988.4332336493055;2262.139663172793
1963.9527361539676;2238.484623944281
1938.6761660555435;2213.51289396996
1914.7217492953448;2189.924681204301
1892.7568840663978;2165.1602358605314
1869.4193187905748;2141.5069016961047
1848.531680642435;2119.1999369065634
1828.0678638086029;2098.353078940742
1808.3624575207527;2081.206657754295
1788.835306388255;2058.1014254936845
1769.6904852120813;2040.9110637770004
1750.0087221520612;2023.2630769089858
1731.4082343643981;2002.4322355638494
1713.668109126192;1986.0296602772119
1695.9114114103304;1972.1651196631785
1680.191550625164;1953.6186968235554
1664.3710715772675;1935.172490840068
1647.1943255859333;1917.453047992692
1632.4819968825036;1904.4717183432258
1616.6165261508065;1889.5048277772635
1601.6734306328265;1875.3722332762914
1586.2894979536231;1858.0164290568184
1572.8115848061207;1842.138113172315
1557.9828340972008;1826.2680281738315
1544.0001813754566;1814.088309931604
1531.06143891406;1800.8628956251928
1519.8611830579184;1784.9027758689397
1505.8110076257904;1772.7512504372942
1492.892266653866;1758.9042263302665
1480.916935537017;1750.5454684291485
1469.9747173348583;1738.8632994420932
1458.1387572624694;1724.27967627755
1446.5000560539434;1711.0563395407964
1435.992205959968;1705.5867091461628
1425.585360550233;1692.3805061381506
1415.2745606911644;1683.55889005747
1404.9017472056257;1675.181051252676
1395.525630117957;1661.8689740541327
1385.8950569848084;1654.3061105471381
1375.7287785725255;1642.708286074497
1367.7063617982808;1633.7914194798109
1357.6826568215338;1627.9240049376751
1349.8270022464148;1616.928256608069
1341.7602428776281;1607.2117057941732
1332.3552817541868;1596.5906303783481
1325.1043998663827;1592.2391496092364
1316.4205168565106;1586.3550005777663
1307.8609903265312;1574.9960906595095
1299.841439513742;1568.8822908787804
1292.9587563503524;1559.2845970686208
1284.9681180394311;1551.9686591692457
1278.3624613778038;1546.2059605439626
1271.2891029769448;1534.106533373421
1263.5333597802787;1531.7354354389329
1257.3607033100539;1525.3224763483827
1250.7956599721545;1514.6879515946225
1243.523313537863;1513.8228400593127
1237.1107719130428;1500.560179625719
1230.785006763957;1497.8823410990892
1224.6614165584529;1495.5187432216264
1218.8782602796857;1485.6981513630465
1212.6951417320677;1480.041282958453
1207.3689038028144;1473.137964921984
1202.187892277639;1468.7676827492664
1196.069085122527;1463.3924782232125
1190.8898086897684;1456.7199506198585
1185.5037093774447;1451.6908812206946
1180.0827654235923;1447.293467336787
1174.9159369325012;1439.6693294132722
1168.8288509682816;1436.9396066137492
1164.0547973860755;1430.8799066220818
1158.9744343277373;1425.1350743519188
1154.183129064585;1421.2234526973525
1149.050647492578;1414.7200064260392
1144.1773237785621;1413.794619460754
1139.9595233670607;1405.9442944086345
1134.3446289088083;1402.78523782815
