melhores;piores
148192.60063513828;191508.42279666293
140790.1472676808;163735.55764463273
134857.4208538781;156086.80388747103
129083.301658012;149732.69788668776
124233.32333025402;143991.00098577354
119296.31591019392;138995.58414542628
114936.86819836579;134343.43324597005
111061.27552018163;130243.4742729277
107476.63941679266;126209.9253250383
104021.99566977384;122565.47871721296
100908.83375465064;119254.91246045392
98057.90382731293;116073.56570788298
95385.69766772623;113048.52748159293
92896.51001836786;110440.57383305117
90414.27703265919;108044.65312222889
88167.23212038206;105530.9894255697
86050.62850124165;103278.816675816
83851.9370914117;101140.35095884604
81928.36677217328;99009.21503660658
80156.6534824365;97114.60966827061
78391.06542819929;95173.03381394826
76706.62760581986;93719.87735717859
75126.88946870473;92044.28940270077
73720.77423592682;90488.45862326732
72435.8841534222;88881.3113786741
71036.81623818766;87616.63837375682
69724.93132069046;86299.61061080219
68502.95604037144;84985.12962247265
67319.36265446935;83732.87957230798
66285.77099135055;82626.28434210384
65229.59527926046;81542.41517336988
64193.2200237519;80515.30358746006
63284.94424092836;79457.73169682795
62150.03710751195;78608.6126617428
61337.44552758784;77659.76199616634
60503.278386215636;76662.33022812323
59773.91587153652;75819.64465462399
59033.94476381972;74998.94531679814
58295.75137387503;74361.97001774554
57590.95241971366;73657.36296831466
56973.15783582119;72979.12564049785
56340.68395564395;72321.9798751607
55697.38037397705;71695.93397219194
55123.8806051;71110.57202751465
54617.81360956466;70529.52036664594
54084.24888820983;69957.39404936502
53645.93894715495;69499.91814929461
53106.613947677506;68986.96097337021
52673.32340945637;68451.30728346076
52190.65424952867;68039.16753212105
51759.10193261441;67594.18719473563
51344.33816895386;67218.72072598978
50976.188300221744;66729.19407296767
50561.43679451878;66375.40009814608
50105.61026688558;65964.845832346
49761.22459309252;65618.3610341423
49335.803927134315;65245.24844072138
49009.79267953824;64910.431382557945
48646.09212416494;64460.53122211405
48331.49520990575;64083.99193589422
48015.40920194411;63799.20185674799
47737.773940879444;63402.08095824464
47460.508622040536;63120.31663852185
47167.467524331565;62916.5260778792
46868.91694938436;62658.97730814578
46620.10232940516;62374.58632577878
46348.92129988206;62129.79938983572
46072.49138566655;61836.61965688139
45835.768281715034;61539.45211160806
45539.29875090711;61333.29655061606
45283.04075411991;61051.08173298764
45080.23947684815;60790.992919599754
44846.30688781647;60561.6535126985
44634.96811240121;60324.99005272994
44406.959068581986;60128.314132273124
44224.11993217557;59907.64663169294
43983.40224555104;59707.22558375095
43813.304381819005;59492.476767420245
43642.03073934046;59319.59827592551
43379.88893465317;59110.1237291124
43212.69443020133;58934.63558756329
43064.00796064046;58704.86183770961
42914.343095731245;58527.98310608215
42703.17335003565;58350.952241801526
42542.744080799624;58217.87148419216
42377.70936425535;58056.0116691967
42191.53870878238;57848.91026756241
42012.75425915023;57704.474804741985
41858.98841547616;57827.9168793891
41714.306215571945;57356.477964492005
41545.78567756615;57157.97080065958
41424.29039523054;56998.44569215815
41249.72493514851;56881.15172913057
41099.021285559305;56719.16520604138
41005.95908536108;56549.416385937526
40858.32279963205;56451.30917132727
40754.64916008971;56332.56190731627
40623.78057180809;56178.38212112316
40465.77751901056;56418.32782027857
40335.79984440409;56297.93743842978
40224.80379147538;56109.1182158123
40107.69233354939;56012.16381568318
40037.401398549446;56092.27460083492
39926.43881155002;56309.07597467645
39820.0304752299;55919.44134208122
39726.50381039115;56151.78194869554
39641.5044928581;55600.680201415074
39500.28619962531;55416.61410931158
39411.61672012374;55416.78941401368
39337.40580577559;55457.25950693395
39263.85447476676;55590.32723224912
39185.57065906754;55346.32762073514
39139.591872968456;56073.501651773484
39081.41139158687;55103.50270385095
39009.76709875343;55796.8634967512
38920.486149536955;55732.39114693117
38873.02172958721;54853.91165572847
38768.65274923392;55154.83031615886
38725.25497822599;56227.784748201826
38639.2637987096;56836.05238418454
38577.902379129555;55525.44714357126
38511.4970288993;56068.27289313367
38463.95589016444;55724.74853916354
38421.508888156386;55901.118324999676
38383.00548798515;55687.73202289398
38322.8427385786;55567.56081562936
38286.71552914852;56142.234094641906
38240.5130994366;55484.70913568903
38202.70136817626;56193.098424069445
38162.48735128167;55973.657557193495
38103.34952617243;55994.21323357608
38035.042058564766;55670.8365330298
38019.0015096537;55767.07009997572
37960.38294765653;55264.274282260485
37927.81944733804;55232.534166566096
37888.97874972042;56263.926110143635
37863.76192301181;55592.54008959774
37826.49269654234;56002.2655826691
37799.67706920431;55797.20150903919
37767.219622395874;55727.49228488889
37704.630994872765;55552.786321761414
37676.11294345664;55744.00649818935
37645.05311032408;54965.704898308824
37615.22032180415;55533.759944709556
37548.67798161031;55888.134554238466
37512.53708733946;55080.48168065344
37486.00108007811;55604.96680557299
37451.654772897;55354.80282595548
37421.76890037212;55926.80819370212
37387.95637511268;55486.16348956785
37327.00055985401;55471.063051784855
37309.12919543053;55341.34206481439
37240.37772856495;55331.28970340841
37218.84341543684;55408.48744090134
37198.96938256236;55188.3400699639
37147.88082976014;55228.24247392842
37094.422950478984;55579.8919033477
37051.167737980766;54751.75506492001
37029.27392010427;54650.819793781106
37011.6529195608;54784.533291487045
36988.15118561978;54355.26057489529
36966.84650419134;54998.675132534394
36938.43215551741;55032.3507775182
36921.26663272639;54777.07024865722
36904.39381992425;54346.896932529635
36889.45545434009;54486.198388600336
36866.18064604872;54673.16103702632
36847.56396007702;54820.94475127767
36836.41314709153;55111.73089107814
36815.07471106979;55003.77107523281
36787.00292247267;54732.13943906447
36737.39618516173;54674.64536735134
36700.20292095612;54715.12590704286
36677.36911360214;54524.642116328665
36640.589662929364;54189.04970127692
36618.89342877017;54907.37647767153
36604.65516371621;54088.56282147266
36567.58653951127;53849.27367479853
36546.29921112455;54103.065620078894
36532.50181273272;54544.23282795778
36517.43258788341;54190.84940262977
36495.21207024299;54460.64912032719
36479.562288587986;54712.594344771074
36460.00273951178;54067.01894517183
36435.04295139878;54249.424375592775
36415.77845514895;54618.04903144727
36381.981397348536;54641.64357376409
36353.281003965385;54426.01971346949
36343.070622980675;54006.030662601675
36329.46293387363;54259.87648162504
36273.66731959348;54138.41951492739
36242.557311004006;54310.89947694059
36217.23584067561;53905.67932699111
36196.221716369255;53987.95922097665
36175.40179687781;53701.284834846985
36122.155110308006;54144.89761553152
36110.19916897633;53857.73619495633
36095.98031172809;54093.33404898556
36065.44653677936;53585.34256731397
36056.918789499985;53956.4722794112
