melhores;piores
1540438.5343007122;1700992.15978642
1523539.9247277395;1575044.5724053185
1506374.7402820545;1556581.8147756073
1489711.0646259964;1539510.5162801514
1472241.688071011;1522526.7915580599
1457360.3322566128;1507267.7104732683
1441812.3524108366;1490736.2782515623
1426849.9308969863;1476266.6953166225
1412137.483421126;1461294.3019965657
1397104.5208281828;1446101.7787526743
1383122.5359394243;1432009.5199954878
1369448.6339641605;1416926.5429761894
1356642.8467662162;1404265.1226157895
1344273.1843442253;1390152.2240146114
1331080.6841874928;1377671.518317753
1318385.1725467928;1365426.378443118
1306744.020127071;1352913.0490467178
1295654.7215292272;1340457.4805281705
1283796.5741426318;1328593.0477484874
1273308.6562365266;1317371.5831333983
1262998.7694081233;1306386.7754371655
1252631.6698821967;1295933.3830771134
1242820.7685781636;1285328.533212208
1233143.3177020543;1275432.5716658751
1223811.257564304;1265243.6204038851
1214583.8088665367;1256233.1218748933
1205080.1900740452;1246993.4034604963
1195770.6760285862;1237658.2647922516
1186874.1792471283;1228839.3505284232
1177741.0040567534;1219673.2736020829
1168912.7464262045;1210692.4848715512
1161001.161903074;1202134.774008126
1152540.058349599;1193031.4504770197
1144223.5648978113;1184911.051969083
1136107.8317777445;1176597.979400539
1128162.4934526302;1168565.533321883
1120441.5385372438;1160320.837823275
1112313.8250919858;1152795.6464903294
1104507.1593892763;1145343.7073878434
1096795.5046351822;1137641.2342262005
1089400.9762209803;1129413.1461889886
1082171.6684929507;1122413.4470979653
1074622.2814307816;1114187.2003356342
1067730.1300667003;1107614.5934687138
1061218.0960732843;1099967.9257372308
1053526.9803707427;1093287.5807287502
1047050.7219045848;1086704.1396216373
1039859.6672808984;1079330.165626165
1033588.2765882477;1073045.3153807446
1027278.8847877246;1065684.396111051
1020826.9707266446;1059646.9085913906
1014326.8112624217;1053140.975534879
1008532.9667905575;1046944.8888822561
1002232.9279952524;1040429.0413671967
996587.2096400606;1034957.9399578819
990998.6181868013;1028711.3475245585
985061.935269675;1023040.9516342165
979931.0138404488;1017708.3622263357
974238.5713906822;1011985.0150355917
968164.1702310576;1006558.7793240069
962843.5650649823;1001110.6011534447
957592.9706836432;995127.694868071
951903.9518565591;990051.4049144601
946812.3001149803;984592.7920706065
941858.8953418352;978894.489478288
936952.1476779983;973784.0809324892
932072.5415146649;969122.3835310489
926725.159420363;964256.2883956088
