melhores;piores
1515467.486776278;1715090.3779150937
1496933.0266742837;1548810.63943302
1475342.3900058558;1528180.2860068893
1457016.2421243554;1510600.827583851
1437043.6985565557;1491676.856016399
1419853.4686651647;1473849.0992533187
1404523.1489363164;1454120.4018141576
1386595.9829331613;1437886.180781202
1371673.3537746444;1422167.8232732508
1357122.0569628777;1403538.5285909472
1341121.1569430248;1389088.471458355
1326449.4607357231;1374562.5795550891
1313880.3678229223;1359813.1197985555
1299785.4010876508;1348108.5228336502
1285248.2081229126;1332583.7325848532
1271384.9011802627;1319627.2797729785
1257149.5560706486;1306058.8477329686
1246795.276031884;1293631.2291299428
1236143.9139207306;1280205.887241298
1225761.5624805747;1268694.4999144953
1214657.8026547744;1256663.3025960492
1201990.819902848;1246161.7993754868
1192193.346470134;1235731.5166854286
1180027.0161522334;1225566.1538360962
1171149.591988154;1215512.3264475486
1163508.1678460957;1203582.7037779207
1154717.7557515597;1194301.735207812
1140974.6242976626;1184944.0730488433
1132003.9875047156;1176537.134683222
1123934.4071534083;1165209.0823918588
1113929.5193246896;1156138.1255508207
1105618.2586569856;1147308.9897953807
1095442.9569744358;1137689.3597941382
1087001.4606358057;1131612.0288655353
1080802.5670020382;1120514.5226037453
1069823.5788759503;1111790.1060316735
1063637.0062043234;1103622.8017884232
1057439.7000206085;1096748.691089165
1047467.5914776471;1088153.9998122507
1039917.9394295483;1080367.4451861165
1033047.5861142267;1072151.0524429078
1025884.613448958;1064076.3950132362
1018660.0673704922;1057710.472047958
1010902.911495502;1052041.7939914062
1004700.5868753033;1043932.3701306136
997599.5406815329;1036955.08682966
991619.2031296662;1030040.5984892572
984783.5235619751;1023928.4120681083
978545.454336517;1017941.2911610844
972354.91249641;1009887.1541459103
967040.5899069012;1005022.6000026133
960795.2261258764;997919.9108383028
954936.8184894345;992315.8018352424
949187.5558630525;986601.8517963722
942720.3169353633;981966.0543157478
937565.3905785686;974193.6626623461
932536.0608197195;968973.5680580722
926110.5289628676;964714.8707975795
920629.9574953027;958497.0277425502
914798.9503536233;952558.4888699807
908361.390723803;946735.6669309034
903308.6498570129;940908.2840576463
898550.439282135;935473.4069022064
892830.7102064764;929476.9374410576
887907.4974043095;924020.9734824458
882584.0178218551;919505.3604579689
877579.636648576;913418.1942164967
871744.0631113027;909188.453534727
866851.304006518;904812.5085518071
862091.1922793906;900012.7312553575
855738.7539847381;894870.3936140975
850761.7754239845;888982.1924467023
846151.5513055808;883760.2400783388
842316.872169883;879757.7339317068
837536.525270361;874846.2824824585
834031.5838756586;870579.7662131782
829115.5591975858;866776.3983260379
825528.7328288383;861963.7194841894
821691.6338102291;858375.7944669931
817133.62919008;853448.6745547809
812069.237706267;849400.518131417
808769.0614122349;846253.4097103255
804931.0435699646;840691.1788489781
800996.8922039863;836809.3288932536
797083.1628341752;833320.7923611723
792996.6725725149;829394.5528370731
788825.1727642356;826236.182970016
785152.5270512423;821149.7310947402
781382.09017598;817554.5207174451
778186.6046854851;813656.8684294466
774090.6063380546;810639.5929075406
769874.4399647522;807289.6713107212
767572.8922426013;802566.9913526081
762532.1770926608;799609.3462622755
759883.4148702201;796057.5859760789
755745.0404115138;792812.1393228067
753263.8526068657;788639.3852879658
748853.4964780238;784714.7762013064
745503.0305400956;782569.4428334525
742888.3981935828;778274.9532887237
739044.9586023763;774710.3651953475
736416.0887579237;771912.4402874255
733052.0294923588;768946.9980985649
729231.1968732905;765208.384083258
726715.9381683805;763227.7483288652
724329.2547213257;759520.7367573492
721186.4361700958;756751.0173511226
718467.0583606205;753973.6576666543
715185.1364066426;750997.5320059629
712207.344873574;747493.7575316167
709685.2844273425;744684.5255285037
707136.4701377389;742345.4713094218
703767.8629727256;739266.0912833178
701206.3419566074;736949.1531080608
698788.2864919289;733276.4129403011
694934.7679418217;731266.049159573
692708.1167414082;728472.958595893
689551.7608868019;725189.1146126388
687089.286233106;722440.8019539291
684884.8722556975;719429.2661656558
681677.3930012123;717262.1434404515
679842.1846314736;714552.6558159458
677261.8722258409;712144.2655580072
674233.5894244764;709848.3426776621
671993.6575312818;707572.4200069263
669645.9723230434;705458.9089136466
667555.2014590527;702561.8716764888
664668.5375374302;699761.5520543469
662632.7933203704;697659.1118622212
661079.533237181;695022.7915396375
658452.1474123587;693503.2146152816
656212.4214564043;691442.3331559598
654301.8415588019;688517.3709999115
652175.5599542601;686791.2280126668
649164.8958802932;684954.8120193727
648055.0058170417;682131.8895228085
645598.3390700395;679833.1789397234
643692.004226067;677601.0713672505
641649.2891306378;676124.0763271643
639377.7459854374;674642.2526897413
637600.3813605974;671808.5146809838
635126.4476362971;670543.3233134383
633673.907844521;668181.453343391
631728.4611854864;666542.1562258856
629530.9040228911;664515.474990993
627488.1889274617;662482.4027014744
626343.6657864125;660424.1243645361
623881.2880551266;657835.5104377868
622487.0460998911;656733.1050228664
619512.3337001759;655272.5870813035
