melhores;piores
147170.0201115631;193030.64827383502
139822.7893979133;163234.2850914827
133496.62040179726;155342.52254961675
127915.42835807175;148739.71059168642
122821.93157598376;143054.00417334464
118457.22317745132;137936.7250534264
114478.89228816415;133347.17427346364
110617.14580857386;129319.14781505526
107130.07799484678;125592.31484501898
103894.67573570438;122080.56475124178
100647.66736525568;118883.12496209894
97827.02574048328;115644.40443510345
95285.68492758843;112813.10510945685
92806.51656875153;110209.20096880477
90534.67946680449;107678.98791527687
88521.6796268674;105520.1416063377
86298.22348139698;103485.92923795822
84427.661289278;101576.71841830046
82540.81104747877;99319.82854826024
80765.92379237858;97582.9515960739
79212.79861227112;95823.48704104655
77695.47715116717;94307.06842478485
76154.51878986883;92774.16497045467
74778.93354725347;91393.05975229926
73344.24683387998;89909.36488996955
72119.60206657102;88594.38343154766
70886.24112408268;87379.8812212682
69857.53180502883;86140.16776231458
68755.73626847012;84959.33052544712
67747.56496769865;84058.92237192157
66672.20027393507;83034.75639008326
65739.79098687586;81981.24535834216
64847.43615390804;81138.43994236723
64058.07196664014;80193.30739002148
63217.86403938924;79305.70057127556
62540.09400282662;78526.16031254474
61860.86856341672;77785.489062996
61172.477000352825;77114.75381003637
60477.46218202331;76523.6786013874
59884.272643013;75875.76909970443
59210.73651007435;75195.98544211833
58603.94448358212;74610.2977382623
58010.89147950292;73955.30337807236
57448.91985653534;73388.44669583449
56869.51285155441;72908.3406012921
56344.915652446485;72267.04441110636
55819.36078690489;71781.53245813615
55312.30110472144;71354.73150333259
54826.95120945355;70799.13394766574
54341.76639200582;70314.189530103
53948.40373269191;69879.61373811647
53522.847525392994;69440.8522833574
53153.43241239457;68934.48835398763
52781.87061666241;68578.62952868229
52408.02643605071;68128.01139928254
52081.61449296302;67810.05723022911
51660.982072225524;67456.95155827639
51298.48437146282;67119.69111209082
50989.590689430726;66787.45981251883
50664.64104176603;66464.59299063087
50311.081759664885;66111.8593191532
50011.25071011219;65819.8615281538
49691.367338738506;65440.47719679527
49352.31870742069;65204.90154466627
49076.403087513856;64856.58144835493
48842.81614127506;64646.417546657394
48556.35594457936;64281.75298938363
48307.70456393363;64005.29570484627
48041.41524876903;63731.94970406593
47861.677857803734;63471.69540698491
47579.192502618724;63245.514063096954
47354.071825282634;62996.98052298442
47094.6666524553;62790.707290467246
46865.07917294292;62509.47533477061
46661.744689230334;62326.105803604994
46461.89868588511;62077.520486799665
46294.916863117294;61898.50580776365
46095.36620946194;61662.46460173962
45920.206752967264;61469.78023725459
45756.768523075574;61318.84223332458
45573.19751062334;61167.51090571757
45383.31380808747;60997.09135382149
45176.56498442958;60823.817214277144
45004.026463748145;60645.47871298165
44847.36572484007;60483.01166515602
44661.18706926193;60281.173314752625
44494.19313322902;60139.87417360252
44291.53719446703;59914.83242688441
44142.69816800389;59785.29075065899
43955.31961584579;59632.69989953765
43710.46135044235;59407.552931569655
43550.93297092215;59291.74904651307
43416.782878993996;59050.888349282766
43274.0229276295;58860.902704458604
43156.95087349713;58703.03416017522
43041.17693819952;58568.25655274865
42918.13771539008;60563.60719239081
42710.075308415144;58353.44085735265
42592.63012183548;58231.23916169741
42391.7699403074;58097.995599589995
42279.274217398175;57935.557543754345
42116.62400188083;59773.06899398319
41981.58247528179;61729.576660267754
41876.99768571396;59625.820263918
41738.921126693735;57333.2437444722
41606.931392922925;61503.32366672135
41511.0968087136;57095.47957417062
41400.31507300692;56952.064535896374
41289.73966007891;56834.860290583616
41217.65160670228;61147.91992858675
41067.664714764935;63240.08359858031
40983.94761820791;63034.07433377921
40898.641151764234;63293.8856399792
40810.33712438215;63190.86184420127
40700.031151285235;62879.13651189691
40616.90677301523;62845.95919988619
40508.48538618816;62580.05104427224
40418.98435852166;58167.96398424897
40337.458858773156;64838.35913220077
40232.516815955474;69418.79641285111
40157.43749019287;69207.60826268408
40091.825703861025;66881.31788062314
40010.81809403629;62239.23590396477
39944.68429702902;62176.52416642451
39856.7000548443;69092.61017155749
39750.48397362069;68992.49235312393
39695.65564426714;68674.80875477495
39640.55569106342;66213.18889832465
39555.283210893525;61675.69429978825
39498.68802205347;70816.59944178366
39424.75479444569;70848.36012892691
39355.64481789227;72962.57809471508
39301.36219047518;72836.59902900885
39254.30978729811;61388.10886610821
39205.4106231698;70166.99370789532
39157.02831526284;75170.79307055783
39087.50717438167;77358.75913388627
39054.85535999916;70411.48437345054
39015.41993490833;70033.16118063396
38974.26065838764;72599.68590234069
38936.77839606765;79516.19786736488
38879.58526055128;79430.83124594986
38848.58927367009;81631.91916044061
38783.14468782481;74978.28818334985
38762.334335955486;79506.21373270648
38733.1054869821;72482.22021339544
38670.643824388935;79283.45271178336
38634.34134151244;86264.6938076083
38598.57463484688;81311.93550367565
38552.09304831063;81295.59040897079
38528.90969069245;81632.2466853316
38485.996526590025;81789.09188681784
38470.64777277907;81640.75334376651
38461.57013098203;86108.66589901704
38419.28806518165;86127.45807731978
38388.896999784716;93215.49767483713
38365.04369119858;90989.5909888313
38301.09795762037;83776.68742964912
38271.931407245036;79189.63478712007
38255.2691217572;91032.7306917374
38150.69963215975;84121.6072638736
38108.99166629682;92959.80101791982
38062.84022065197;86438.9579885783
38036.27978787881;81886.92937656822
38007.050462094296;86164.17042207552
37960.415940722334;86170.08936029053
37932.32344489006;91052.90149599742
37847.73359049931;92888.71342308135
37831.13475149444;88234.50046578725
37809.28321007624;85913.45193121336
37774.98391376571;88292.116908605
37762.8067204912;95369.25944770014
37741.15479185962;93050.84932221443
37730.9865758359;92928.38061740952
37710.92290193848;90631.50837228331
37700.46876315748;93002.60957849561
37685.528420782975;95273.79061245164
37662.242642017394;92972.89539194375
37652.33537334075;97702.34295155696
37619.3230222203;92930.96178709912
37607.06841681079;90598.42463535999
37586.20304966238;95310.57512362025
37579.430618221515;83308.1425459996
37563.90542314995;95290.06283301875
37550.555663240084;92852.67739652105
37547.00815807475;97584.41636329831
37518.59707921158;90721.07488188014
37488.41610178798;95342.27827267002
37472.822538507906;95284.68338387026
37453.98618732706;88045.91062765209
37449.90423698687;95089.13366253999
37416.540069772454;95397.25972085535
37410.22663943385;95142.35632531889
37377.811585623145;92767.35660304074
37367.34447371641;92899.11203848866
37338.46608490772;95194.59533483224
37318.79675160496;95176.11563769865
37311.09416945555;92672.64807840156
37289.89780411222;90529.90741764204
37278.284625094275;88152.97473401476
