melhores;piores
23745.708961008302;34699.14045858562
22275.488547149664;34572.758198518735
20818.680648287518;34194.96446771269
19610.15163895048;34281.57586832874
18708.584633339873;34374.3890261175
17777.306349056307;34119.55094752745
17399.99104676387;33947.706889735724
16760.500852956502;33926.56498635611
16207.576081928331;34441.78453136362
15877.233445398353;34032.79146019161
15564.948316008435;34241.45175877869
15157.464595382276;34131.20094982119
14793.977160850865;34144.079579378056
14465.255798827682;34395.25974452903
14290.852557870323;34589.78255526338
14066.206391109397;34185.297373537425
13831.501684467707;33832.52647291795
13644.80099398423;34177.5149205842
13387.566695358477;33997.65737368396
13315.24361768612;33989.751409276054
13105.115555527216;34221.92707460716
12955.490668043845;34243.68220191733
12787.158185699718;34368.05297681584
12679.075876796647;34261.72358123524
12510.556612586955;34044.62854912877
12386.610724828057;33988.23909066167
12233.856361892535;34204.23421678397
12148.998747165222;33695.45150215873
12017.646615202753;33954.165285493684
11924.642266873712;34218.39315384831
11888.616982854819;33759.231675274365
11717.575813241509;33814.09870900378
11672.95224268348;34100.5347466536
11589.020437117366;34026.309361071086
11536.792554694426;34097.39625958796
11449.97618764386;33896.9122386315
11361.318716861613;33947.73919139153
11321.336082088394;34355.67713508381
11222.268638028123;34032.07989501573
11185.456137532743;34403.822618783975
11154.06002103381;34313.64064993469
11011.58784998576;34155.66250971188
10893.403813785408;34609.68184823626
10880.755632748193;34162.77740793479
10789.823690769636;34343.54083367965
10771.250895594178;33930.1666668213
10714.860099958169;34299.81627722862
10668.867493564154;34016.36134323518
10627.100540804457;34223.40249853865
10603.118437427647;34097.082495783725
10580.799669127144;34224.97527059385
10572.567543104675;34477.55953705379
10560.32450617839;33928.78886807274
10510.61937442888;33732.68738005872
10496.848326964757;34264.84557832875
10481.570070138609;34436.584433335294
10437.281335089545;33922.41974956762
10408.095827470448;34096.41803474123
10401.87637695435;34051.98113162622
10352.543061745157;34529.89686490467
10317.64407092894;33949.21355965275
10315.101669791311;34265.57633430439
10291.103226027308;33974.32914443725
10232.788029765612;33832.9324042687
10211.38350476768;33952.69997740385
10176.255931674441;34151.22421029559
10176.255931674441;33989.80289793387
10152.777172911743;34154.355795409116
10133.898560937005;34267.78961691137
10117.874296047356;34194.32553323657
10115.293973743455;33992.05259951615
10113.261291625331;33926.5634450995
10091.281593581563;34209.28456823268
10049.104883387417;33767.08383577681
10038.722892647873;34142.97720875437
10011.799846197822;34238.9120746379
9987.252447194525;34005.37461939057
9976.683258689027;33750.164437386724
9962.082610354943;34310.82232250228
